Location,stress,X,Y,Z
59027  ,2.812e-02   ,305  ,1795.6  ,-73.5
59028  ,2.676e-02   ,305  ,1791.2  ,-73.5
59029  ,2.809e-02   ,305  ,1786.9  ,-73.5
59030  ,2.685e-02   ,305  ,1782.5  ,-73.5
59031  ,2.707e-02   ,305  ,1778.1  ,-73.5
59032  ,3.297e-02   ,305  ,1773.7  ,-73.5
59033  ,4.407e-02   ,305  ,1769.3  ,-73.5
59034  ,2.790e-02   ,305  ,1765  ,-73.5
59035  ,2.803e-02   ,305  ,1760.6  ,-73.5
59036  ,2.664e-02   ,305  ,1756.2  ,-73.5
59037  ,2.789e-02   ,305  ,1751.8  ,-73.5
59038  ,2.725e-02   ,305  ,1747.4  ,-73.5
59039  ,2.786e-02   ,305  ,1743.1  ,-73.5
59040  ,2.806e-02   ,305  ,1738.7  ,-73.5
59041  ,2.785e-02   ,305  ,1734.3  ,-73.5
59042  ,2.815e-02   ,305  ,1729.9  ,-73.5
59043  ,2.683e-02   ,305  ,1725.5  ,-73.5
59044  ,2.831e-02   ,305  ,1721.2  ,-73.5
59045  ,2.771e-02   ,305  ,1716.8  ,-73.5
59046  ,2.828e-02   ,305  ,1712.4  ,-73.5
59047  ,2.820e-02   ,305  ,1708  ,-73.5
59048  ,2.868e-02   ,305  ,1703.6  ,-73.5
59049  ,2.877e-02   ,305  ,1699.3  ,-73.5
59050  ,4.792e-02   ,305  ,1694.9  ,-73.5
59051  ,5.149e-02   ,305  ,1690.5  ,-73.5
59052  ,3.190e-02   ,305  ,1686.1  ,-73.5
59053  ,2.829e-02   ,305  ,1681.8  ,-73.5
59054  ,2.776e-02   ,305  ,1677.4  ,-73.5
59055  ,2.738e-02   ,305  ,1673  ,-73.5
59056  ,2.774e-02   ,305  ,1668.6  ,-73.5
59057  ,2.800e-02   ,305  ,1664.2  ,-73.5
59058  ,2.794e-02   ,305  ,1659.9  ,-73.5
59059  ,2.792e-02   ,305  ,1655.5  ,-73.5
59060  ,2.741e-02   ,305  ,1651.1  ,-73.5
59061  ,2.739e-02   ,305  ,1646.7  ,-73.5
59062  ,2.793e-02   ,305  ,1642.3  ,-73.5
59063  ,2.737e-02   ,305  ,1638  ,-73.5
59064  ,2.704e-02   ,305  ,1633.6  ,-73.5
59065  ,2.827e-02   ,305  ,1629.2  ,-73.5
59066  ,2.717e-02   ,305  ,1624.8  ,-73.5
59067  ,2.790e-02   ,305  ,1620.4  ,-73.5
59068  ,2.704e-02   ,305  ,1616.1  ,-73.5
59069  ,2.682e-02   ,305  ,1611.7  ,-73.5
59070  ,2.603e-02   ,305  ,1607.3  ,-73.5
59071  ,2.856e-02   ,305  ,1602.9  ,-73.5
